Frequency (Hz)	Level (dB)
8171.850586	-35.069347
8182.617188	-35.539688
8193.383789	-38.199268
8204.150391	-41.217319
8214.916992	-41.094860
8225.683594	-41.640182
8236.450195	-41.615986
8247.216797	-38.314892
8257.983398	-36.398697
8268.750000	-36.381634
8279.516602	-37.008934
8290.283203	-37.738361
8301.049805	-37.343788
8311.816406	-37.086876
8322.583008	-36.545456
8333.349609	-35.650501
8344.116211	-36.454727
8354.882812	-36.668961
8365.649414	-35.778828
8376.416016	-36.266159
8387.182617	-36.551987
8397.949219	-35.771416
8408.715820	-35.336998
8419.482422	-35.463100
8430.249023	-35.296635
8441.015625	-34.059875
8451.782227	-34.327351
8462.548828	-37.253048
8473.315430	-42.087109
8484.082031	-40.920712
8494.848633	-36.580170
8505.615234	-34.287220
8516.381836	-34.111046
8527.148438	-35.280060
8537.915039	-36.301208
8548.681641	-36.692806
8559.448242	-36.223400
8570.214844	-35.269112
8580.981445	-34.736847
8591.748047	-34.906616
8602.514648	-34.948521
8613.281250	-34.403351
8624.047852	-34.227825
8634.814453	-35.911808
8645.581055	-37.361633
8656.347656	-34.866898
8667.114258	-33.289349
8677.880859	-34.091011
8688.647461	-35.823814
8699.414062	-36.971516
8710.180664	-36.945206
8720.947266	-35.769917
8731.713867	-34.144173
8742.480469	-33.351353
8753.247070	-32.753246
8764.013672	-31.657642
8774.780273	-31.047308
8785.546875	-31.037676
8796.313477	-31.496599
8807.080078	-31.722330
8817.846680	-31.302908
8828.613281	-31.323414
8839.379883	-31.857742
8850.146484	-33.020535
8860.913086	-34.376633
8871.679688	-34.217937
8882.446289	-33.455162
8893.212891	-32.117691
8903.979492	-31.302296
8914.746094	-31.806810
8925.512695	-32.082207
8936.279297	-31.929211
8947.045898	-31.887495
8957.812500	-31.712435
8968.579102	-31.104368
8979.345703	-31.793552
8990.112305	-33.194359
9000.878906	-33.249294
9011.645508	-33.277508
9022.412109	-33.936337
9033.178711	-33.603714
9043.945312	-32.694515
9054.711914	-32.725452
9065.478516	-33.117710
9076.245117	-32.935776
9087.011719	-32.858646
9097.778320	-33.183262
9108.544922	-33.875084
9119.311523	-34.821720
9130.078125	-34.960136
9140.844727	-35.054207
9151.611328	-36.594788
9162.377930	-38.184414
9173.144531	-38.850536
9183.911133	-37.285839
9194.677734	-34.852341
9205.444336	-33.575535
9216.210938	-33.517773
9226.977539	-33.957012
9237.744141	-35.110157
9248.510742	-36.318424
9259.277344	-37.146210
9270.043945	-37.692009
9280.810547	-37.108662
9291.577148	-35.605225
9302.343750	-34.673347
9313.110352	-34.113667
9323.876953	-34.229481
9334.643555	-35.108856
9345.410156	-37.352203
9356.176758	-38.691326
9366.943359	-38.297878
9377.709961	-40.046516
9388.476562	-40.757187
9399.243164	-37.730556
9410.009766	-36.413338
9420.776367	-36.690075
9431.542969	-36.379993
9442.309570	-35.539238
9453.076172	-35.183163
9463.842773	-35.621082
9474.609375	-36.785297
9485.375977	-38.455772
9496.142578	-40.247498
9506.909180	-40.871025
9517.675781	-40.671558
9528.442383	-39.734669
9539.208984	-37.703800
9549.975586	-36.767956
9560.742188	-37.312336
9571.508789	-37.714508
9582.275391	-38.492519
9593.041992	-39.962200
9603.808594	-41.245136
9614.575195	-40.808559
9625.341797	-39.485416
9636.108398	-37.389626
9646.875000	-35.735519
9657.641602	-35.333492
9668.408203	-35.394196
9679.174805	-35.933479
9689.941406	-36.299465
9700.708008	-36.589882
9711.474609	-36.515480
9722.241211	-36.544701
9733.007812	-36.995682
9743.774414	-37.474365
9754.541016	-37.373791
9765.307617	-36.841232
9776.074219	-36.784431
9786.840820	-37.279701
9797.607422	-37.201355
9808.374023	-36.420944
9819.140625	-35.949120
9829.907227	-35.956772
9840.673828	-35.850201
9851.440430	-35.911133
9862.207031	-35.894234
9872.973633	-35.540226
9883.740234	-35.390766
9894.506836	-35.766861
9905.273438	-35.352089
9916.040039	-34.390732
9926.806641	-34.394737
9937.573242	-35.515793
9948.339844	-36.381264
9959.106445	-36.762173
9969.873047	-37.002537
9980.639648	-37.591290
9991.406250	-38.485317
10002.172852	-38.680958
10012.939453	-38.687519
10023.706055	-39.450020
10034.472656	-39.852921
10045.239258	-39.245964
10056.005859	-38.465916
10066.772461	-37.724606
10077.539062	-37.245232
10088.305664	-36.597382
10099.072266	-35.474472
10109.838867	-34.859772
10120.605469	-35.456234
10131.372070	-36.728428
10142.138672	-37.685066
10152.905273	-38.394653
10163.671875	-38.016033
10174.438477	-37.776306
10185.205078	-37.566307
10195.971680	-37.189762
10206.738281	-37.030769
10217.504883	-37.466339
10228.271484	-38.398911
10239.038086	-39.047092
10249.804688	-39.196560
10260.571289	-39.140697
10271.337891	-39.643612
10282.104492	-39.701042
10292.871094	-39.483749
10303.637695	-38.653675
10314.404297	-37.847824
10325.170898	-37.230068
10335.937500	-36.811058
10346.704102	-36.633766
10357.470703	-36.577702
10368.237305	-36.609035
10379.003906	-37.263592
10389.770508	-38.425014
10400.537109	-39.645683
10411.303711	-39.701786
10422.070312	-38.967613
10432.836914	-38.408543
10443.603516	-37.975929
10454.370117	-37.984245
10465.136719	-38.785873
10475.903320	-38.964760
10486.669922	-38.915398
10497.436523	-40.090000
10508.203125	-41.058613
10518.969727	-40.895641
10529.736328	-40.561466
10540.502930	-40.190788
10551.269531	-40.354950
10562.036133	-40.693077
10572.802734	-40.300129
10583.569336	-39.389019
10594.335938	-39.173458
10605.102539	-39.102215
10615.869141	-39.457767
10626.635742	-40.490532
10637.402344	-41.629543
10648.168945	-42.490166
10658.935547	-43.223312
10669.702148	-44.012684
10680.468750	-43.568268
10691.235352	-42.940205
10702.001953	-42.992882
10712.768555	-43.761147
10723.535156	-44.274403
10734.301758	-44.775097
10745.068359	-45.252010
10755.834961	-45.947308
10766.601562	-47.007393
10777.368164	-45.532669
10788.134766	-44.044365
10798.901367	-44.671169
10809.667969	-45.765678
10820.434570	-46.001781
10831.201172	-46.613186
10841.967773	-47.116776
10852.734375	-47.036686
10863.500977	-46.800640
10874.267578	-46.640011
10885.034180	-47.115040
10895.800781	-48.727722
10906.567383	-51.448399
10917.333984	-55.362251
10928.100586	-60.982956
10938.867188	-67.776283
10949.633789	-69.929939
10960.400391	-66.920258
10971.166992	-63.680695
10981.933594	-60.299278
10992.700195	-58.686691
11003.466797	-59.013802
11014.233398	-58.060165
11025.000000	-56.382702
11035.766602	-55.004341
11046.533203	-54.353649
11057.299805	-55.059326
11068.066406	-56.182430
11078.833008	-56.526279
11089.599609	-56.086830
11100.366211	-55.428677
11111.132812	-53.989532
11121.899414	-52.068058
11132.666016	-50.533470
11143.432617	-49.812744
11154.199219	-50.348019
11164.965820	-50.700680
11175.732422	-51.583164
11186.499023	-55.280643
11197.265625	-58.920200
11208.032227	-57.212845
11218.798828	-54.860352
11229.565430	-54.633316
11240.332031	-56.049656
11251.098633	-57.048492
11261.865234	-58.569603
11272.631836	-62.232304
11283.398438	-68.281494
11294.165039	-75.585014
11304.931641	-78.169731
11315.698242	-77.132050
11326.464844	-73.245232
11337.231445	-65.326416
11347.998047	-59.869167
11358.764648	-57.381588
